Cégnév	Steinigke Showtechnic GmbH	 	 	 
Cím	Andreas-Bauer-Str. 5	 	 	 
Város	97297 Waldbüttelbrunn, Germany	 	 	 
Irányítószám	 	 	 	 
Ország	 	 	 	 
Központi telefon	phone: +49 931 4061 600	 	 	 
Központi e-mail	email: info@steinigke.de	 	 	 
Adószám	 	 	 	 
EU Adószám	 DE 160449806	 	 	 
Bírósági reg szám/ cégjegyzék	 	 	 	 
Commercial 	Register: Würzburg HR B 4703	 	 	 
 	WEEE-Nr.: 18776746	 	 	 
 	 	 	 	 
 	 	 	 	 
Ügyvezető	Név	Chief Executive Officer: Matthias Schwab	 	 
Ügyvezető	Mobil	 	 	 
Ügyvezető	e-mail	 	 	 
értékesítő	Név	Eveline Rimac-Juhász	 	 
értékesítő	Mobil	-631.99998704	 	 
értékesítő	e-mail	eveline.rimac-juhasz@steinigke.de	 	 
Technikai	Név	 	 	 
Technikai	Mobil	 	 	 
Technikai	e-mail	 	 	 
Mérnök	Név	 	 	 
Mérnök	Mobil	 	 	 
Mérnök	e-mail	 	 	 
Raktár	Név	 	 	 
Raktár	Mobil	 	 	 
Raktár	e-mail	 	 	 
Iroda	Név	 	 	 
Iroda	Mobil	 	 	 
Iroda	e-mail	 	 	 
Pénzügy	Név	 	 	 
Pénzügy	Mobil	 	 	 
Pénzügy	e-mail	invoice@steinigke.de	 	 
